mean,min,max,std,var,coe,con,medi,kurtosis,en,zcr,subject
0.1497,-10.6055,19.4207,4.5202,20.4326,1,20.4326,-0.2291,6.6639,1370.5066,0.2353,7
0.1721,-10.6055,19.4207,4.4907,20.1666,1,20.1666,-0.0733,6.7208,1373.3718,0.2319,8
0.0975,-10.6055,19.4207,4.5015,20.2635,1,20.2635,-0.2291,6.6442,1398.849,0.2429,9
0.1769,-10.6055,19.4207,4.519,20.421,1,20.421,-0.0733,6.4199,1431.688,0.2394,0
0.1103,-10.6055,19.4207,4.5224,20.452,1,20.452,-0.2291,6.3773,1452.9663,0.25,1
0.0869,-10.6055,19.4207,4.4953,20.2081,1,20.2081,-0.3849,6.459,1455.5381,0.2466,2
0.0452,-10.6055,19.4207,4.479,20.061,1,20.061,-0.4122,6.4999,1464.6048,0.2432,3
-0.0377,-10.6055,19.4207,4.5058,20.3026,1,20.3026,-0.4395,6.373,1502.4994,0.24,4
-0.0034,-10.6055,19.4207,4.4857,20.1213,1,20.1213,-0.4122,6.3748,1509.097,0.2368,5
-0.02,-10.6055,19.4207,4.4598,19.8901,1,19.8901,-0.4395,6.4539,1511.6953,0.2468,6
0.0059,-10.6055,19.4207,4.4388,19.7029,1,19.7029,-0.4122,6.4672,1517.1267,0.2436,7
0.0258,-10.6055,19.4207,4.4138,19.4814,1,19.4814,-0.3849,6.5136,1519.6034,0.2405,8
-0.0059,-10.6055,19.4207,4.3949,19.3149,1,19.3149,-0.4122,6.5683,1525.8805,0.25,9
-0.0803,-10.6055,19.4207,4.4183,19.5217,1,19.5217,-0.4395,6.4505,1562.2591,0.2469,0
-0.155,-10.6055,19.4207,4.4429,19.739,1,19.739,-0.5752,6.3334,1600.8269,0.2439,1
-0.1739,-10.6055,19.4207,4.419,19.5279,1,19.5279,-0.7108,6.4067,1603.7962,0.241,2
-0.256,-10.6055,19.4207,4.4562,19.858,1,19.858,-0.7646,6.2521,1653.7198,0.2381,3
-0.2455,-10.6055,19.4207,4.4307,19.6309,1,19.6309,-0.7108,6.3123,1654.1211,0.2353,4
-0.1918,-10.6055,19.4207,4.4326,19.6478,1,19.6478,-0.5752,6.1989,1673.2305,0.2326,5
-0.1902,-10.6055,19.4207,4.4068,19.4196,1,19.4196,-0.4395,6.2696,1673.2328,0.2414,6
-0.1989,-10.6055,19.4207,4.3821,19.2032,1,19.2032,-0.5752,6.344,1674.1593,0.2386,7
-0.1647,-10.6055,19.4207,4.3691,19.089,1,19.089,-0.4395,6.3227,1682.2435,0.236,8
-0.1486,-10.6055,19.4207,4.3472,18.898,1,18.898,-0.4122,6.3656,1683.9104,0.2333,9
-0.2663,-10.6055,19.4207,4.4664,19.949,1,19.949,-0.4395,6.087,1801.8638,0.2418,0
-0.3407,-10.6055,19.4207,4.4987,20.2387,1,20.2387,-0.5752,5.9501,1852.3969,0.2391,1
-0.4052,-10.6055,19.4207,4.5173,20.4058,1,20.4058,-0.7108,5.8597,1892.6035,0.2366,2
-0.3396,-10.6055,19.4207,4.5378,20.5912,1,20.5912,-0.5752,5.6914,1925.8199,0.234,3
-0.4776,-13.4559,19.4207,4.7099,22.1831,1,22.1831,-0.7108,5.5415,2106.8811,0.2421,4
-0.5357,-13.4559,19.4207,4.7195,22.2737,1,22.2737,-0.7646,5.4791,2143.5539,0.2396,5
-0.5347,-13.4559,19.4207,4.6949,22.0418,1,22.0418,-0.7108,5.5357,2143.7454,0.2371,6
-0.4679,-13.4559,19.4207,4.7172,22.2524,1,22.2524,-0.5752,5.3894,2179.9324,0.2347,7
-0.5284,-13.4559,19.4207,4.7316,22.3881,1,22.3881,-0.7108,5.3162,2221.6774,0.2424,8
-0.4093,-13.4559,19.4207,4.856,23.5812,1,23.5812,-0.5752,5.064,2351.2895,0.24,9
